Simulated Return,Simulated Drawdown
9.1,0.7
20.44,0.35
1.32,1.41
-0.01,0.27
4.27,2.62
-4.59,5.53
-6.6,7.93
-5.26,6.12
11.53,4.1
-3.72,4.55
-0.8,3.82
-0.93,1.55
-5.73,8.95
-6.38,6.92
4.36,0.42
5.82,0.28
-2.71,3.64
-4.65,5.51
20.42,0.32
-1.97,2.48
-2.59,2.97
4.45,2.25
-5.65,5.79
-7.41,20.38
-6.38,6.92
-5.51,10.33
-4.61,6.24
0.99,0.7
4.66,1.29
-4.61,6.24
-5.73,8.95
7.53,3.7
-1.29,1.58
-0.08,0.96
5.8,5.48
6.99,2.43
43.46,0.41
-4.52,5.31
-1.97,2.48
-1.09,1.03
6.96,1.58
0.5,0.88
-4.86,5.85
-2.36,4.16
1.74,3.21
4.36,0.42
3.84,1.42
-1.94,2.46
-3.72,4.55
5.69,1.35
0.5,0.88
0.2,1.7
-3.72,4.55
14.0,0.77
5.24,3.04
0.69,1.0
-6.86,7.34
22.1,1.21
-1.09,1.03
-2.4,3.98
0.2,1.7
43.46,0.41
-0.98,3.19
2.64,4.01
-1.97,2.48
-5.08,5.26
-0.62,1.3
3.84,1.42
9.29,0.58
6.67,2.11
-5.51,10.33
-4.2,6.77
6.99,2.43
-3.72,4.38
6.96,1.58
-2.31,3.43
-2.01,3.29
20.42,0.32
-0.52,3.17
-0.62,1.3
-1.47,3.09
-2.94,3.3
-2.94,3.3
-0.14,3.23
2.09,2.63
-5.0,5.44
-4.32,4.8
4.66,1.29
0.2,1.7
-2.47,3.25
17.55,0.59
26.72,3.88
-0.52,3.17
6.96,1.58
23.61,0.28
-2.47,3.25
-2.36,4.16
-2.47,3.25
-0.3,0.47
43.29,2.09
6.67,2.11
5.82,0.28
-7.36,9.21
-5.51,10.33
-1.25,5.21
-1.97,2.48
-1.89,1.94
-0.6,2.14
0.34,3.11
-2.01,3.29
-4.98,7.08
-1.94,2.46
-0.38,2.38
0.2,1.7
7.53,3.7
-4.98,7.08
-5.73,8.95
-2.17,3.36
0.5,0.88
-2.68,3.75
-5.42,7.98
4.27,2.62
19.36,0.12
-0.62,1.3
-5.26,6.12
-1.38,4.03
5.24,3.04
0.5,0.88
-0.6,2.14
12.52,2.82
-1.47,3.09
-4.3,4.25
-7.47,8.12
20.44,0.35
5.5,0.95
-0.59,2.11
-2.43,3.61
-4.44,4.72
-0.28,6.78
21.94,0.5
-4.44,4.72
-0.93,1.55
-5.08,5.26
1.74,3.21
